status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,purpose,home_ownership,delinq_2yrs_zero,pub_rec_zero,open_acc,grade,outcome,emp_length,purpose_,home_,emp_len_
Charged Off,5000,36 months,100000,16.33,1.90524,74351.0,62.1,debt_consolidation,MORTGAGE,1,1,17,7.0,default,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,27000,11.47,14.4773,7814.0,52.3,other,RENT,1,1,7,5.4,paid off,7,other,RENT, > 1 Year
Fully Paid,10000,36 months,60000,12.74,6.0872,14019.0,19.5,credit_card,RENT,1,1,11,6.2,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,11000,36 months,70000,10.85,5.79,11638.0,36.4,debt_consolidation,RENT,1,1,5,6.4,paid off,6,debt_consolidation,RENT, > 1 Year
Default,15000,36 months,80000,9.12,7.2507,11845.0,63.7,debt_consolidation,MORTGAGE,1,1,9,5.2,default,9,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,25600,36 months,110000,15.71,8.99956,26088.0,62.0,credit_card,RENT,1,1,11,5.2,paid off,10,credit_card,RENT, > 1 Year
Fully Paid,7000,36 months,40000,7.38,6.8406,12168.0,92.9,debt_consolidation,RENT,1,1,7,5.4,paid off,1,debt_consolidation,RENT, > 1 Year
Charged Off,12000,36 months,50000,20.88,10.1196,15793.0,90.8,car,RENT,1,1,11,5.0,default,5,major_purchase,RENT, > 1 Year
Fully Paid,12000,36 months,46000,8.11,10.0878,12143.0,52.1,credit_card,RENT,1,1,11,5.2,paid off,2,credit_card,RENT, > 1 Year
Charged Off,21000,60 months,50000,21.58,13.3279,19448.0,97.6,debt_consolidation,RENT,1,1,7,2.8,default,8,debt_consolidation,RENT, > 1 Year
Fully Paid,16000,60 months,81000,20.52,6.2683,27884.0,75.1,credit_card,RENT,1,1,12,2.8,paid off,8,credit_card,RENT, > 1 Year
Fully Paid,10000,36 months,39000,18.58,10.2818,12874.0,72.7,debt_consolidation,OWN,1,1,5,5.8,paid off,1,debt_consolidation,OWN, > 1 Year
Fully Paid,10000,36 months,51400,19.14,7.60482,10160.0,59.1,credit_card,RENT,1,1,10,5.4,paid off,3,credit_card,RENT, > 1 Year
Fully Paid,7100,36 months,33000,24.0,9.17564,6021.0,91.2,debt_consolidation,MORTGAGE,1,1,4,3.4,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,17675,60 months,50000,16.46,10.014,6661.0,57.4,debt_consolidation,RENT,1,1,6,4.6,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,8000,36 months,62000,21.64,5.50277,6088.0,66.9,debt_consolidation,RENT,1,1,14,3.4,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,3500,36 months,55000,5.39,2.48749,6611.0,45.9,debt_consolidation,MORTGAGE,1,1,9,5.4,paid off,8,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,12500,60 months,30000,13.16,8.9244,9844.0,70.8,debt_consolidation,RENT,1,0,7,3.6,default,6,debt_consolidation,RENT, > 1 Year
Fully Paid,16425,36 months,44544,22.71,15.1813,15747.0,83.4,debt_consolidation,RENT,1,1,10,4.4,paid off,5,debt_consolidation,RENT, > 1 Year
Charged Off,8200,60 months,75000,12.48,3.57024,9012.0,73.9,small_business,RENT,1,1,6,1.4,default,5,small_business,RENT, > 1 Year
Fully Paid,15000,36 months,61000,11.88,10.1788,19397.0,79.5,credit_card,OWN,1,1,8,4.6,paid off,3,credit_card,OWN, > 1 Year
Fully Paid,20975,60 months,44000,18.79,9.31718,20657.0,79.4,credit_card,MORTGAGE,1,0,13,3.8,paid off,6,credit_card,MORTGAGE, > 1 Year
Charged Off,6400,36 months,75000,20.22,3.6392,7159.0,67.5,debt_consolidation,RENT,1,1,9,3.4,default,6,debt_consolidation,RENT, > 1 Year
Fully Paid,3000,36 months,33600,18.11,3.63571,2745.0,83.2,debt_consolidation,RENT,1,1,4,4.2,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,50000,20.57,10.2353,11443.0,97.0,credit_card,RENT,1,1,13,3.4,paid off,4,credit_card,RENT, > 1 Year
Fully Paid,14400,36 months,150000,14.85,3.658,63864.0,55.0,debt_consolidation,OWN,1,1,12,7.0,paid off,1,debt_consolidation,OWN, > 1 Year
Fully Paid,12000,36 months,90000,16.56,5.5192,17116.0,78.5,debt_consolidation,RENT,1,1,12,4.6,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,11000,36 months,48000,21.82,9.331,11382.0,65.0,debt_consolidation,MORTGAGE,1,1,15,4.2,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,7250,60 months,75000,24.82,3.16016,21706.0,91.2,debt_consolidation,RENT,1,0,9,1.6,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,15000,36 months,52000,9.65,10.8314,1616.0,6.7,small_business,MORTGAGE,1,1,11,6.8,paid off,2,small_business,MORTGAGE, > 1 Year
Fully Paid,18000,60 months,65000,6.81,8.78751,11745.0,77.8,debt_consolidation,MORTGAGE,1,1,10,2.8,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,35000,60 months,150000,7.51,4.41472,7334.0,53.3,home_improvement,MORTGAGE,1,1,11,3.6,paid off,4,home_improvement,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,68000,15.39,6.05453,11303.0,81.3,credit_card,RENT,1,1,9,4.4,paid off,3,credit_card,RENT, > 1 Year
Fully Paid,11800,36 months,42000,9.86,11.3094,8940.0,74.8,credit_card,RENT,1,1,4,6.0,paid off,7,credit_card,RENT, > 1 Year
Fully Paid,4500,36 months,53000,4.44,3.10098,8630.0,13.9,major_purchase,RENT,1,1,7,6.2,paid off,5,major_purchase,RENT, > 1 Year
Fully Paid,7000,36 months,35000,11.35,8.05097,7649.0,82.3,credit_card,RENT,1,1,10,6.0,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,9200,36 months,60000,19.96,6.1486,23299.0,78.7,debt_consolidation,RENT,1,1,8,5.8,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,4500,60 months,42000,5.4,2.77314,8220.0,78.3,car,MORTGAGE,1,1,4,5.4,paid off,1,major_purchase,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,88365,16.85,5.75264,22936.0,96.4,debt_consolidation,RENT,1,1,6,3.2,paid off,10,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,72000,21.33,6.78617,3419.0,27.6,debt_consolidation,RENT,1,1,11,4.2,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,62000,23.94,7.56542,20310.0,78.4,credit_card,RENT,1,1,10,5.4,paid off,1,credit_card,RENT, > 1 Year
Fully Paid,7000,36 months,43680,5.38,6.26429,6245.0,78.1,credit_card,MORTGAGE,1,1,7,5.4,paid off,4,credit_card,MORTGAGE, > 1 Year
Fully Paid,8200,60 months,120000,2.8,2.1462,10392.0,88.4,debt_consolidation,RENT,1,1,5,2.6,paid off,4,debt_consolidation,RENT, > 1 Year
Fully Paid,10500,36 months,66000,20.73,6.40418,5790.0,51.2,medical,RENT,0,1,8,6.0,paid off,11,medical,RENT, > 1 Year
Fully Paid,7000,36 months,39120,21.01,7.10245,9414.0,52.4,debt_consolidation,OWN,1,0,8,5.6,paid off,5,debt_consolidation,OWN, > 1 Year
Fully Paid,20000,60 months,47800,10.04,7.10109,16447.0,46.3,debt_consolidation,MORTGAGE,1,1,15,5.6,paid off,5,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,17500,60 months,45000,21.31,11.6659,20129.0,86.1,credit_card,MORTGAGE,1,1,13,3.6,default,8,credit_card,MORTGAGE, > 1 Year
Fully Paid,3500,36 months,83000,2.31,1.54019,3092.0,13.4,car,MORTGAGE,1,1,6,6.2,paid off,11,major_purchase,MORTGAGE, > 1 Year
Charged Off,6200,36 months,25000,20.64,9.5904,6533.0,47.7,debt_consolidation,RENT,1,1,7,5.2,default,3,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,28800,13.17,7.93833,5269.0,36.8,debt_consolidation,OWN,1,1,11,7.0,paid off,9,debt_consolidation,OWN, > 1 Year
Fully Paid,7200,36 months,135000,6.12,2.0624,16627.0,79.6,credit_card,RENT,1,1,7,5.2,paid off,7,credit_card,RENT, > 1 Year
Fully Paid,9500,36 months,50000,8.18,7.23984,13422.0,60.5,credit_card,MORTGAGE,1,1,8,7.0,paid off,8,credit_card,MORTGAGE, > 1 Year
Charged Off,18825,60 months,38000,23.18,14.7009,11004.0,79.7,debt_consolidation,RENT,1,1,6,3.4,default,11,debt_consolidation,RENT, > 1 Year
Fully Paid,24000,36 months,45000,14.8,20.8469,24708.0,55.2,debt_consolidation,RENT,1,1,5,5.4,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,80000,11.58,3.05385,15499.0,83.8,debt_consolidation,RENT,1,1,8,4.2,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,50000,15.38,4.88616,15191.0,91.5,debt_consolidation,RENT,1,1,6,4.2,paid off,6,debt_consolidation,RENT, > 1 Year
Fully Paid,2100,36 months,30000,19.72,2.8072,12183.0,82.9,vacation,MORTGAGE,1,1,12,5.8,paid off,11,other,MORTGAGE, > 1 Year
Fully Paid,5500,36 months,110000,9.69,1.84233,14136.0,21.9,small_business,MORTGAGE,1,1,7,6.4,paid off,9,small_business,MORTGAGE, > 1 Year
Fully Paid,11000,36 months,45608,20.5,8.8866,10677.0,58.7,debt_consolidation,OWN,1,1,7,6.4,paid off,9,debt_consolidation,OWN, > 1 Year
Fully Paid,26800,60 months,120000,12.15,7.2338,14772.0,48.0,debt_consolidation,MORTGAGE,1,1,13,1.2,paid off,4,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,8000,36 months,35000,10.05,9.20091,6842.0,97.7,debt_consolidation,MORTGAGE,1,1,7,6.0,paid off,6,debt_consolidation,MORTGAGE, > 1 Year
Charged Off,10000,36 months,75000,24.14,5.80448,22828.0,96.3,credit_card,RENT,1,1,9,4.0,default,2,credit_card,RENT, > 1 Year
Fully Paid,8000,36 months,35000,9.7,9.07234,6142.0,46.5,credit_card,MORTGAGE,1,1,7,5.6,paid off,10,credit_card,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,24000,7.0,15.877,6734.0,49.5,debt_consolidation,RENT,1,1,6,7.0,paid off,7,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,126000,13.32,3.78019,32711.0,54.1,debt_consolidation,MORTGAGE,1,1,17,5.6,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,43000,25.26,8.73237,8215.0,37.2,debt_consolidation,RENT,1,1,8,6.8,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,50000,16.44,9.2808,14335.0,29.3,debt_consolidation,RENT,1,1,11,5.2,paid off,2,debt_consolidation,RENT, > 1 Year
Charged Off,19750,36 months,45000,22.8,17.1555,16576.0,54.2,debt_consolidation,RENT,1,1,12,5.4,default,5,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,31200,14.81,12.3942,5540.0,27.0,debt_consolidation,RENT,1,1,13,5.2,paid off,4,debt_consolidation,RENT, > 1 Year
Fully Paid,13650,36 months,66000,24.09,8.29309,8933.0,56.5,debt_consolidation,RENT,1,1,11,5.8,paid off,5,debt_consolidation,RENT, > 1 Year
Charged Off,28000,60 months,52000,20.7,7.20092,29178.0,87.6,debt_consolidation,RENT,1,1,10,2.8,default,11,debt_consolidation,RENT, > 1 Year
Fully Paid,18000,36 months,56964,27.55,11.865,17381.0,76.6,debt_consolidation,RENT,1,1,7,6.8,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,2500,36 months,49500,10.33,2.07952,9868.0,37.7,debt_consolidation,RENT,1,1,7,4.4,paid off,8,debt_consolidation,RENT, > 1 Year
Fully Paid,21000,60 months,70000,23.21,9.59811,12508.0,70.7,credit_card,RENT,1,1,17,3.0,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,35000,36 months,125000,22.71,10.6692,9051.0,34.8,debt_consolidation,MORTGAGE,1,1,8,7.0,paid off,7,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,33000,9.75,11.3131,68.0,0.6,credit_card,RENT,1,1,9,6.6,paid off,4,credit_card,RENT, > 1 Year
Fully Paid,7000,36 months,30000,15.8,9.3928,15455.0,47.6,credit_card,RENT,1,1,7,6.0,paid off,1,credit_card,RENT, > 1 Year
Charged Off,24000,36 months,90000,9.17,11.244,30952.0,71.2,home_improvement,MORTGAGE,1,1,9,5.0,default,9,home_improvement,MORTGAGE, > 1 Year
Fully Paid,10625,36 months,23000,18.89,17.2466,7114.0,43.4,medical,MORTGAGE,1,1,9,6.6,paid off,6,medical,MORTGAGE, > 1 Year
Fully Paid,5000,36 months,24000,18.3,8.624,2429.0,33.3,debt_consolidation,RENT,1,1,5,4.6,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,8850,36 months,62000,17.71,5.25929,9466.0,35.9,credit_card,RENT,1,1,7,6.4,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,6375,36 months,44000,4.8,5.40927,6324.0,58.0,debt_consolidation,RENT,1,1,7,6.6,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,90000,2.97,2.64613,8489.0,56.6,credit_card,RENT,0,1,10,5.6,paid off,2,credit_card,RENT, > 1 Year
Charged Off,11100,36 months,41000,29.85,9.97522,17518.0,62.3,credit_card,RENT,1,1,8,6.4,default,11,credit_card,RENT, > 1 Year
Fully Paid,10000,60 months,56000,10.82,4.84179,10081.0,31.2,debt_consolidation,MORTGAGE,1,1,11,6.0,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,6200,36 months,26500,18.2,8.54536,2982.0,16.0,small_business,MORTGAGE,1,1,6,6.2,paid off,6,small_business,MORTGAGE, > 1 Year
Fully Paid,15000,36 months,54000,19.69,12.1582,15183.0,90.3,debt_consolidation,RENT,1,1,9,2.2,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,4200,36 months,53000,16.91,3.14536,8336.0,79.7,other,RENT,1,1,15,5.6,paid off,3,other,RENT, > 1 Year
Fully Paid,14000,36 months,52800,7.36,10.9166,13378.0,70.8,debt_consolidation,RENT,1,1,9,4.4,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,8875,36 months,38000,23.53,8.71926,19056.0,62.1,debt_consolidation,MORTGAGE,1,1,13,6.6,paid off,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,13500,36 months,38000,12.38,13.7381,16023.0,67.3,debt_consolidation,RENT,1,1,3,5.2,paid off,8,debt_consolidation,RENT, > 1 Year
Charged Off,12000,36 months,42000,7.83,11.0486,9749.0,65.4,debt_consolidation,RENT,1,1,8,5.2,default,3,debt_consolidation,RENT, > 1 Year
Fully Paid,16000,60 months,55000,15.8,9.23149,7743.0,72.4,debt_consolidation,RENT,1,1,8,2.8,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,21600,60 months,60000,16.74,11.3064,13354.0,78.1,debt_consolidation,MORTGAGE,0,1,6,2.6,paid off,9,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,87000,12.86,2.69572,11739.0,40.5,home_improvement,MORTGAGE,0,1,12,5.4,paid off,7,home_improvement,MORTGAGE, > 1 Year
Charged Off,10000,36 months,60000,22.08,6.6152,5626.0,29.3,debt_consolidation,RENT,1,1,8,5.6,default,9,debt_consolidation,RENT, > 1 Year
Fully Paid,12000,36 months,80000,18.18,6.35415,29609.0,97.2,credit_card,MORTGAGE,1,1,8,3.2,paid off,6,credit_card,MORTGAGE, > 1 Year
Charged Off,13475,60 months,25000,21.89,14.8795,9943.0,65.8,credit_card,RENT,1,1,7,4.2,default,11,credit_card,RENT, > 1 Year
Fully Paid,7200,36 months,48000,17.43,6.01475,16450.0,80.2,major_purchase,RENT,1,1,7,5.8,paid off,6,major_purchase,RENT, > 1 Year
Charged Off,5600,36 months,85000,12.24,2.72711,6812.0,90.8,debt_consolidation,MORTGAGE,0,1,8,4.6,default,2,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,12000,36 months,57000,10.86,8.66758,9273.0,81.5,debt_consolidation,RENT,1,1,7,4.4,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,8500,36 months,25000,1.73,12.4181,2463.0,28.0,credit_card,RENT,1,1,6,6.2,paid off,3,credit_card,RENT, > 1 Year
Fully Paid,8000,36 months,34000,18.28,9.09882,7434.0,78.5,credit_card,RENT,1,1,6,5.2,paid off,3,credit_card,RENT, > 1 Year
Fully Paid,8000,36 months,40000,15.0,8.0199,18601.0,88.2,credit_card,RENT,1,1,10,5.8,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,15000,36 months,44400,3.59,14.5084,4582.0,91.6,house,MORTGAGE,0,0,6,3.6,paid off,3,home_improvement,MORTGAGE, > 1 Year
Fully Paid,10000,36 months,30000,11.24,12.89,9152.0,66.8,debt_consolidation,OWN,1,1,8,5.2,paid off,3,debt_consolidation,OWN, > 1 Year
Fully Paid,10000,36 months,70000,16.78,5.26354,10770.0,69.0,credit_card,MORTGAGE,1,1,9,6.4,paid off,6,credit_card,MORTGAGE, > 1 Year
Fully Paid,8000,36 months,28000,12.6,11.8269,6187.0,54.3,car,RENT,1,1,8,4.6,paid off,4,major_purchase,RENT, > 1 Year
Fully Paid,22000,36 months,50000,13.22,17.0148,21470.0,49.8,debt_consolidation,MORTGAGE,1,1,17,5.2,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,94800,24.53,2.60582,71890.0,95.9,car,MORTGAGE,1,1,13,4.4,paid off,11,major_purchase,MORTGAGE, > 1 Year
Charged Off,2500,36 months,12000,16.3,7.778,4853.0,42.2,debt_consolidation,OWN,1,1,13,6.6,default,0,debt_consolidation,OWN, < 1 Year
Fully Paid,13500,36 months,36000,22.93,14.5013,25011.0,67.2,credit_card,MORTGAGE,1,1,13,5.2,paid off,3,credit_card,MORTGAGE, > 1 Year
Fully Paid,25000,36 months,225000,8.32,4.45541,30449.0,34.6,debt_consolidation,RENT,0,1,11,5.8,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,45900,24.97,8.87085,8936.0,48.3,small_business,RENT,1,1,10,4.2,paid off,3,small_business,RENT, > 1 Year
Fully Paid,2500,36 months,27200,6.44,3.7425,3473.0,68.1,debt_consolidation,RENT,1,1,6,4.2,paid off,5,debt_consolidation,RENT, > 1 Year
Fully Paid,7325,36 months,42000,22.57,7.02057,7281.0,65.0,debt_consolidation,RENT,1,1,12,6.0,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,4000,36 months,135000,12.12,1.18818,29311.0,85.7,credit_card,RENT,1,1,11,5.8,paid off,6,credit_card,RENT, > 1 Year
Charged Off,10000,36 months,65000,6.92,6.26418,14292.0,69.5,small_business,RENT,0,1,12,4.2,default,6,small_business,RENT, > 1 Year
Charged Off,7750,36 months,24000,16.1,13.868,2348.0,67.1,debt_consolidation,RENT,1,1,4,3.6,default,1,debt_consolidation,RENT, > 1 Year
Charged Off,20000,60 months,70000,16.63,9.2544,10470.0,79.9,debt_consolidation,RENT,1,1,10,1.2,default,7,debt_consolidation,RENT, > 1 Year
Fully Paid,9600,36 months,65000,11.65,5.92228,11279.0,70.9,debt_consolidation,RENT,1,1,6,5.8,paid off,11,debt_consolidation,RENT, > 1 Year
Charged Off,21000,60 months,60000,6.62,9.2814,10543.0,79.9,debt_consolidation,RENT,1,1,7,5.6,default,4,debt_consolidation,RENT, > 1 Year
Fully Paid,14000,36 months,30000,15.52,18.2412,15542.0,65.6,credit_card,RENT,1,1,7,5.4,paid off,4,credit_card,RENT, > 1 Year
Fully Paid,13350,36 months,43000,20.57,12.4493,11531.0,95.3,debt_consolidation,RENT,1,1,7,5.8,paid off,11,debt_consolidation,RENT, > 1 Year
Charged Off,15000,36 months,42000,19.63,15.2309,8238.0,74.9,debt_consolidation,RENT,1,1,10,3.4,default,11,debt_consolidation,RENT, > 1 Year
Charged Off,15000,36 months,75000,16.03,8.58896,13505.0,75.9,debt_consolidation,RENT,1,1,10,3.6,default,9,debt_consolidation,RENT, > 1 Year
Fully Paid,35000,36 months,168000,3.17,8.14336,1099.0,1.4,debt_consolidation,MORTGAGE,0,1,16,5.4,paid off,3,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,9000,36 months,74000,8.89,4.75395,7388.0,71.7,credit_card,MORTGAGE,1,1,7,5.4,paid off,10,credit_card,MORTGAGE, > 1 Year
Charged Off,16000,36 months,58500,20.64,11.0096,26224.0,89.3,debt_consolidation,RENT,1,1,8,6.0,default,2,debt_consolidation,RENT, > 1 Year
Fully Paid,13500,36 months,71000,11.97,7.65397,6681.0,77.7,debt_consolidation,RENT,1,1,4,6.0,paid off,6,debt_consolidation,RENT, > 1 Year
Fully Paid,24000,36 months,75000,11.6,12.8813,21609.0,84.6,debt_consolidation,RENT,1,1,10,6.0,paid off,11,debt_consolidation,RENT, > 1 Year
