"TaxAssessedValue","SqFtTotLiving","ZipCode"
384000,1810,"98188"
384000,1020,"98188"
316000,2420,"98188"
407000,2080,"98188"
571000,3540,"98188"
163000,1110,"98188"
272000,1600,"98188"
223000,1700,"98188"
212000,1720,"98188"
226000,1450,"98188"
229000,1730,"98188"
520000,2560,"98188"
520000,270,"98188"
183000,1190,"98188"
242000,960,"98166"
340000,2540,"98166"
249000,1410,"98166"
202000,1510,"98023"
197000,1600,"98023"
620000,1300,"98004"
616000,2510,"98177"
349000,1640,"98177"
373000,1520,"98177"
412000,1200,"98177"
388000,1970,"98177"
324000,1560,"98177"
378000,1730,"98177"
629000,2630,"98177"
493000,2560,"98177"
1024000,4800,"98177"
864000,3100,"98177"
594000,2980,NA
547000,3110,"98072"
565000,2240,"98072"
304000,1380,"98072"
521000,2670,"98072"
475000,2110,"98072"
1276000,5120,"98072"
311000,1850,"98224"
522000,2395,"98034"
356000,2370,"98108"
230000,1600,"98188"
284000,1910,"98188"
201000,1400,"98188"
220000,2260,"98108"
195000,1680,"98002"
164000,900,"98002"
145000,990,"98002"
508000,2540,"98052"
406000,1430,"98052"
398000,1630,"98052"
433000,1920,"98052"
482000,2190,"98052"
600000,1610,"98040"
596000,1730,"98040"
744000,3170,"98040"
376000,1270,"98136"
430000,2000,"98136"
412000,1930,"98136"
282000,1240,"98136"
535000,1490,"98136"
437000,2240,"98136"
556000,2110,"98136"
548000,2140,"98136"
236000,1100,"98126"
275000,1280,"98126"
263000,1230,"98126"
253000,770,"98126"
620000,2650,"98052"
665000,3140,"98052"
615000,2643,"98052"
690000,3540,"98052"
577000,2300,"98052"
305000,2370,"98042"
337000,2900,"98042"
235000,2430,"98108"
240000,1640,NA
205000,1460,"98108"
146000,690,"98108"
159000,1030,"98002"
142000,980,"98002"
188000,1600,"98002"
222000,1620,"98002"
175000,1070,"98002"
277000,2460,"98002"
557000,2750,"98052"
470000,2410,"98052"
453000,1820,"98052"
449000,1820,"98052"
470000,2410,"98052"
189000,1330,"98092"
1056000,2660,"98040"
231000,2150,NA
78000,2020,NA
253000,2430,NA
211000,1600,NA
244000,2390,NA
242000,2390,NA
669000,2690,"98116"
1005000,3770,"98116"
610000,1940,"98116"
579000,2140,"98116"
720000,2900,"98116"
667000,2480,"98116"
285000,2120,"98032"
319000,1310,"98126"
495000,2360,"98126"
366000,1330,"98126"
336000,840,"98126"
629000,2490,"98126"
328000,990,"98126"
410000,2130,"98126"
263000,670,"98136"
472000,2020,"98126"
342000,960,"98126"
357000,1080,"98126"
357000,2900,"98031"
269000,1800,"98166"
304000,2200,"98166"
263000,1430,"98166"
259000,1790,"98166"
201000,1430,"98148"
236000,2350,"98148"
200000,2020,"98023"
600000,1180,"98004"
1713000,4650,NA
554000,1450,"98004"
604000,1890,"98004"
1528000,4250,NA
1068000,2730,"98004"
589000,1430,"98004"
576000,1150,"98004"
640000,1210,"98004"
679000,1660,"98004"
410000,1820,"98034"
274000,1800,"98003"
291000,2170,"98003"
255000,1190,"98059"
255000,1190,"98059"
255000,1190,"98059"
486000,2160,"98072"
494000,1980,"98072"
596000,2460,"98077"
236000,2350,"98001"
238000,2540,"98168"
222000,2090,"98168"
194000,2330,"98168"
562000,3550,"98116"
619000,970,"98116"
604000,2160,"98116"
682000,2620,"98116"
536000,1760,"98116"
406000,980,"98116"
400000,1080,"98116"
395000,860,"98116"
406000,3020,"98116"
583000,1460,"98116"
939000,2960,"98116"
329000,940,"98116"
2157000,3030,"98116"
953000,1960,"98116"
408000,870,"98116"
606000,960,"98116"
558000,1720,"98144"
189000,2250,"98146"
706000,1880,"98144"
688000,3710,"98122"
286000,840,"98199"
315000,770,"98199"
465000,1580,"98199"
360000,1450,"98199"
485000,1590,"98116"
364000,800,"98116"
256000,1980,"98198"
268000,2010,"98118"
395000,1320,"98115"
488000,1560,"98115"
530000,2250,"98115"
556000,1870,"98115"
638000,2740,"98115"
376000,2220,"98146"
283000,1390,"98146"
297000,1470,"98146"
245000,780,"98146"
447000,2240,"98146"
288000,1540,"98133"
269000,1140,"98133"
284000,1430,"98133"
620000,1100,"98004"
600000,880,"98004"
659000,1220,"98004"
439000,2460,"98034"
333000,2010,"98034"
294000,2150,"98003"
321000,2510,"98003"
280000,1950,"98003"
1109000,3066,"98004"
2001000,4950,"98004"
1368000,3040,"98004"
1877000,3560,"98004"
2093000,4080,"98004"
2195000,3940,"98004"
1612000,3560,"98004"
274000,1670,"98042"
214000,1100,"98042"
322000,2250,"98042"
263000,1660,"98042"
283000,2180,"98042"
249000,1840,"98042"
337000,2500,"98042"
258000,1430,"98042"
256000,1590,"98042"
264000,1790,"98188"
195000,1000,"98188"
186000,1000,"98188"
219000,1546,"98188"
238000,1500,"98188"
380000,1980,"98188"
179000,1440,"98188"
307000,2280,"98188"
267000,2470,"98188"
180000,1080,"98188"
620000,2780,"98188"
228000,2060,"98188"
745000,3650,"98188"
255000,940,"98188"
370000,1530,"98188"
239000,2050,"98188"
91000,2100,NA
294000,910,"98188"
175000,1520,"98188"
168000,970,"98188"
195000,1330,"98168"
289000,1870,"98166"
291000,1630,"98166"
257000,1270,"98148"
250000,940,"98038"
381673,790,"98038"
453204,3370,"98038"
431000,1960,"98038"
358000,2220,"98146"
366000,1870,"98146"
171000,1040,"98106"
251000,1590,"98106"
276000,2060,"98106"
190000,1240,"98106"
222000,880,"98106"
146000,710,"98106"
155000,700,"98106"
216000,1950,"98126"
164000,790,"98106"
175000,1080,"98146"
185000,1870,"98106"
225000,970,"98146"
166000,780,"98106"
199000,1160,"98146"
278000,1400,"98146"
229000,1620,"98146"
340000,1950,"98146"
452000,2220,"98146"
249000,1240,"98038"
210000,640,"98038"
380000,2430,"98038"
576000,3620,"98038"
607000,4080,"98038"
523000,2600,"98038"
2182000,4810,"98136"
1009000,3250,"98146"
284000,1976,"98178"
224000,1530,"98118"
355000,1660,"98118"
200000,2240,"98178"
163000,1080,"98178"
351000,2140,"98118"
300000,2450,"98118"
488000,2730,"98059"
283000,1900,"98065"
669000,2780,"98008"
485000,2220,"98007"
913000,3460,"98008"
489000,1600,"98008"
614000,2160,"98008"
773000,3330,"98008"
643000,2870,NA
196000,1200,"98002"
242000,1870,"98002"
227000,1900,"98002"
385000,2260,"98166"
416000,2060,"98166"
366000,2350,"98108"
446000,2130,"98108"
484000,2150,"98108"
261000,2000,"98168"
272000,1740,"98168"
212000,1710,"98168"
193000,1010,"98188"
514000,3330,"98022"
201000,2090,"98032"
406000,2450,"98030"
406000,840,"98030"
406000,670,"98030"
159000,840,"98032"
171000,770,"98055"
290000,2740,"98118"
282000,1020,NA
504000,2220,"98122"
370000,640,"98122"
433000,1280,NA
158000,1180,"98001"
247000,930,"98042"
424000,2520,"98092"
300000,2410,"98092"
550000,3530,"98092"
350000,2060,"98092"
610000,3491,NA
335000,2880,"98042"
522000,1460,"98010"
532000,1610,"98010"
704000,2510,"98010"
788000,2420,"98040"
937000,2120,"98040"
1247000,3410,"98040"
581000,2010,"98032"
581000,1340,"98032"
372000,3220,"98032"
231000,2230,"98042"
175000,1100,"98042"
205000,1850,"98042"
222000,1040,"98058"
219000,1460,"98042"
183000,1640,"98042"
559000,3796,"98058"
256000,1400,NA
310000,1860,"98038"
465000,2250,"98038"
538000,2920,"98146"
267000,620,"98106"
267000,1220,"98106"
218000,1640,"98106"
232000,2110,"98106"
251000,1860,"98146"
154000,1010,"98106"
82000,1290,"98106"
172000,1500,"98106"
226000,1990,"98106"
413000,2510,"98146"
353000,1440,"98146"
289000,970,"98146"
210000,990,"98146"
189000,1070,"98106"
290000,1030,"98146"
158000,770,"98106"
317000,1670,"98146"
317000,900,"98146"
346000,1860,"98146"
385000,3110,NA
542000,3640,"98058"
273000,1430,"98038"
438000,1966,"98038"
505000,2660,"98038"
421000,1380,"98107"
397000,1050,"98107"
424000,1580,"98107"
369000,1930,"98146"
183000,1130,"98106"
177000,1150,"98106"
197000,1190,"98106"
191000,1220,"98146"
203000,1110,"98106"
232000,1090,"98106"
194000,1060,"98106"
172000,920,"98106"
171000,1000,"98106"
205000,1920,"98126"
253000,2840,"98106"
245000,1610,"98146"
195000,1030,"98146"
412000,1930,"98146"
378000,1810,"98146"
318000,1700,"98146"
412000,1710,"98038"
106000,870,"98038"
227000,1530,"98038"
568000,2710,"98038"
423000,2070,"98038"
352000,2008,"98038"
581000,1800,"98107"
423000,910,"98107"
459000,2120,"98107"
219000,1260,"98146"
224000,1140,"98146"
209000,940,"98106"
175000,1180,"98106"
409000,1910,"98146"
326000,1820,"98146"
350000,1810,"98146"
218000,840,"98146"
211000,1220,"98106"
324000,1220,"98146"
219000,1870,"98106"
326000,2450,"98146"
379000,1780,"98146"
349000,1840,"98146"
385000,1900,"98146"
236000,1690,"98038"
117000,890,"98038"
1341000,5020,"98038"
704000,3800,NA
454000,2190,"98107"
142000,780,"98106"
186000,1150,"98106"
211000,1200,"98106"
195000,1200,"98106"
199000,1100,"98106"
314000,1480,"98146"
148000,980,"98146"
273000,1290,"98146"
188000,1570,"98146"
390000,1990,"98146"
232000,1210,"98146"
416000,1930,"98146"
336000,1960,"98146"
213000,1640,"98146"
228000,1100,"98146"
390000,1620,"98059"
687000,4000,"98059"
833000,4770,"98059"
871000,4620,"98059"
506000,2750,"98038"
419000,2060,"98038"
557000,3070,"98038"
491000,2760,"98038"
310000,1900,"98038"
341000,2040,"98146"
253000,1030,"98146"
307000,1350,"98146"
303000,770,"98146"
303000,1010,"98146"
732000,2530,"98146"
314000,2040,"98118"
230000,1710,"98118"
199000,980,"98118"
162000,950,"98178"
195000,1230,"98178"
179000,1040,"98178"
249000,2460,"98178"
158000,890,"98178"
303000,2450,NA
873000,3110,"98008"
873000,920,"98008"
880000,3240,"98008"
748000,2310,"98008"
225000,1730,"98032"
444000,1580,"98038"
277000,1700,"98038"
199750,700,"98038"
486000,2700,"98038"
671000,3720,"98038"
409000,1370,"98107"
204000,1380,"98106"
217000,1590,"98106"
172000,1000,"98126"
150000,720,"98146"
201000,1910,"98106"
197000,1580,"98146"
190000,1540,"98146"
150000,700,"98106"
377000,2060,"98146"
257000,1790,"98146"
392000,4430,"98146"
401000,2420,"98146"
345000,1570,"98146"
453000,2950,"98146"
649000,3380,"98059"
364000,1250,"98107"
560000,2550,"98008"
138000,480,"98106"
138000,630,"98106"
249000,1550,"98146"
194000,1740,"98106"
182000,920,"98146"
329000,1600,"98146"
273000,2340,"98106"
162000,820,"98126"
199000,1300,"98106"
204000,980,"98106"
310000,820,"98146"
216000,1120,"98146"
324000,1870,"98146"
401000,2300,"98146"
295000,1740,"98146"
224000,1470,"98106"
384000,3200,"98146"
293000,2530,"98146"
385000,2030,"98146"
1320000,5070,NA
684000,3010,"98059"
704000,4180,"98059"
649000,3210,"98059"
314000,510,"98107"
417000,2510,"98058"
207000,1450,"98038"
399000,1850,"98038"
361000,1280,"98038"
406000,1990,"98038"
410000,1500,"98107"
392000,3340,"98146"
181000,1170,"98146"
248000,2010,"98106"
174000,840,"98146"
233000,1780,"98106"
215000,1270,"98106"
175000,1170,"98146"
195000,1760,"98126"
238000,1260,"98146"
171000,690,"98106"
96000,2360,NA
174000,1190,"98106"
179000,1150,"98146"
351000,2280,"98146"
317000,2550,"98146"
157000,810,"98106"
163000,730,"98146"
333000,1770,"98146"
618000,3150,"98038"
320000,1880,"98038"
358000,1770,"98038"
410000,2880,"98038"
428000,3160,NA
293000,1080,"98146"
374000,2040,"98136"
342000,1150,"98146"
267000,800,"98146"
129000,680,"98118"
205000,1730,"98178"
316000,1800,"98059"
808000,5190,"98059"
348000,2380,"98059"
346000,1170,"98065"
358000,1670,"98065"
358000,690,"98065"
1133000,2520,"98008"
1133000,500,"98008"
792000,2990,"98008"
641000,2870,NA
764000,2340,"98008"
1424000,4360,NA
621000,2400,"98075"
492235,3380,"98038"
375000,1860,"98038"
190000,1350,"98038"
277000,1890,"98038"
445000,2410,"98038"
462000,1260,"98038"
407000,810,"98107"
202000,1350,"98146"
168000,1060,"98106"
247000,630,"98106"
247000,480,"98106"
155000,910,"98106"
177000,1010,"98106"
155000,640,"98106"
230000,1340,"98106"
376000,1480,"98146"
201000,1940,"98106"
157000,860,"98106"
257000,1540,"98146"
177000,1140,"98146"
453000,1830,"98146"
324000,1770,"98146"
222000,1330,"98146"
164000,1240,"98106"
470000,2690,"98038"
138000,840,"98038"
594000,3030,NA
384000,870,"98107"
485000,1680,"98107"
475000,1770,"98107"
500000,1530,"98107"
170000,840,"98106"
178000,980,"98106"
264000,1280,"98146"
333000,1550,"98146"
388000,1440,"98146"
388000,1000,"98146"
189000,1270,"98146"
186000,1110,"98146"
453000,2660,"98146"
340000,1660,"98146"
294000,1300,"98146"
506000,4120,"98146"
208000,1460,"98146"
304000,1800,"98146"
357000,1630,"98146"
414000,2970,"98146"
218000,1330,"98146"
582000,3420,"98008"
1612000,4070,"98075"
496000,2090,"98117"
597000,1970,"98117"
433000,1740,"98117"
520000,4700,"98177"
333000,1580,"98177"
357000,1760,"98177"
549000,3230,"98177"
511000,2610,"98177"
431000,3400,"98177"
394000,1690,"98177"
378000,2010,"98177"
322000,1730,"98177"
302000,540,"98177"
302000,1320,"98177"
392000,1870,"98177"
322000,1720,"98177"
341000,1680,"98177"
355000,2390,"98177"
340000,1860,"98177"
372000,2090,"98177"
373000,1970,"98177"
422000,2330,"98177"
647000,3750,"98059"
581000,2970,"98059"
295000,910,"98107"
308000,1000,"98107"
882000,3300,"98008"
1552000,5150,"98075"
492000,1230,"98117"
476000,1550,"98117"
685000,2040,"98117"
328000,970,"98117"
436000,1800,"98052"
545000,2830,"98177"
261000,980,"98177"
373000,2210,"98177"
452000,2820,"98177"
358000,1940,"98177"
375000,1620,"98177"
362000,2060,"98177"
393000,2020,"98177"
309000,1390,"98177"
379000,1840,"98177"
556000,2870,"98177"
329000,1620,"98177"
418000,2350,"98177"
875000,3520,"98008"
1335000,2280,"98075"
715000,1980,"98075"
795000,3550,NA
754000,2280,"98075"
489000,1960,"98075"
911000,3760,"98075"
647000,2620,"98117"
439000,1290,"98117"
439000,1170,"98117"
578000,2450,"98117"
550000,3030,"98117"
433000,1260,"98117"
506000,1810,"98117"
510000,1700,"98117"
750000,3440,NA
305000,960,"98033"
985000,3370,NA
483000,2270,"98177"
635000,3720,"98177"
513000,1980,"98177"
427000,1370,"98177"
587000,1970,"98177"
539000,2280,"98177"
662000,3130,"98177"
663000,2970,"98177"
1160000,3620,"98177"
376000,1400,"98177"
383000,2380,"98177"
394000,1640,"98177"
866000,3980,"98177"
687000,2460,"98177"
741000,3160,"98177"
224000,960,"98028"
310000,1920,"98028"
683000,3460,"98019"
416000,2250,"98077"
157000,850,"98224"
449000,3460,"98030"
501000,2150,"98034"
364000,2730,"98108"
388000,2170,"98118"
277000,2380,"98188"
203000,1260,"98188"
209000,1400,"98188"
222000,1800,"98188"
220000,2440,"98188"
210000,1280,"98146"
235000,1600,"98106"
495000,3740,"98059"
462000,1970,"98059"
487000,3410,"98059"
507000,2680,"98059"
660000,2890,"98059"
518000,2730,NA
835000,2840,"98008"
596000,2700,"98008"
1253000,2480,"98075"
1789000,3810,"98075"
571000,1670,"98117"
550000,1420,"98117"
408000,1760,"98052"
857000,1850,"98053"
558573,3060,NA
569800,2930,"98014"
649000,4630,"98177"
439000,2250,"98177"
406000,1040,"98177"
472000,2940,"98177"
300000,1450,"98177"
405000,1860,"98177"
361000,2400,"98133"
392000,2530,"98177"
416000,2260,"98177"
422000,1950,"98177"
460000,2560,NA
375000,2080,"98133"
365000,1660,"98133"
400000,2180,"98177"
581000,3190,NA
582000,2860,NA
561000,3550,NA
255000,1180,"98028"
357000,2440,"98028"
368000,2580,"98028"
325000,1660,"98028"
